1252446794274885634,wtvrkels_,"i have officially entered the baking/cooking portion of quarantine..today i made banana pancakes, the best blueberry muffins ever, and enchiladas ,,, nut",2020-04-21 03:59:19,United States
1252446812486553601,RonitFalevitch,"Quarantine Day 34. 
In Home Facial Treatment using @RonitFalevitch products, #dermaroller and #rosequartzroller 
Step 1. Wash your face with Arilan’s Gentle Cleanser with Rose Hip. 2. Apply Glycolic Peel 7.5% for 3… https://t.co/8KPC1BQLeU",2020-04-21 03:59:24,United States
1252446863678005248,prchic83,"Great Brews to celebrate 4/20 #quarantine @KingsRoadBrew doublenickelbrewingco @kanebrewing and @njflyingfish 🍺🍺🍺🍺 the_official_richdman #craftbeerlove #nothingbetter @ Barnegat Bay, New Jersey https://t.co/DRXcAFOZtN",2020-04-21 03:59:36,United States
1252446905260539910,jossanahaas,"Missing the good ol’ days, eh?! 🍁🇨🇦🌹 #springtime #canada #bc #steveston #quarantineblues @ Steveston, British Columbia https://t.co/kkm7SirRWm",2020-04-21 03:59:46,Canada
1252446994888564736,Maga60298496,"So good whether outside,but because of quarantine we can’t go out:(    It +20 degrees,I could play basketball,but the court is closed.#Quarantine #Covid_19 #sithome https://t.co/LDiUtbxNQE",2020-04-21 04:00:07,Kazakhstan
1252447357037207552,JustGFPodcast,"2.4 million people were infected by COVID-19 and 165,000 died worldwide. I guess it’s a tradeoff if more die so people can go to the hair salons, barber shops and nail salons. 🤦🏾‍♀️🤦🏼‍♀️ 
https://t.co/QhBKStiSUk… https://t.co/Nq9Yb3GMrl",2020-04-21 04:01:33,United States
1252447393695576064,Christina4jc,Well during this #quarantine I’ve been very thankful to enjoy the outdoors. My poor bike has been in the garage  (3 plus years with dust and flat tires by her lonesome self lol) since Texas. Thanks to being home I… https://t.co/F4c3KKmxNW,2020-04-21 04:01:42,United States
1252447549807448065,ITwarp,These people decided to refund over $1000 back to each student to help with the Covid-19 situation even after the government refused to do the needful. And still put up 20% of their salaries towards supporting students further . I’m thoroughly impressed to be honest ..,2020-04-21 04:02:19,Australia
1252447706955632641,iamchantelamar,"Did yall notice that when it was announced that COVID-19 disproportionately affects people of color, the RED States decided that its okay to open. 👀",2020-04-21 04:02:57,United States
1252447868209836033,VirallyAds,"I challenge you to #SaveTheWorld❤ from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields #Bottles2Shields  Spanish https://t.co/Dzh14jOsuB  #BillionShieldsChallenge , https://t.co/TNBh1XyNhY",2020-04-21 04:03:35,United States
1252447957359775744,VirallyAds,"I challenge you to ❤#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #BillionShieldsChallenge , https://t.co/IuuECg85SA",2020-04-21 04:03:57,United States
1252448008756699140,tarikkhribech,"Today's photoshoot 
#photography #stevejobs #business #startup #makemoney #goals #covid19 #coronavirus #together #stronger #chicago #chorerelief @ Merchandise Mart https://t.co/XNbGFuNTEG",2020-04-21 04:04:09,United States
1252448105645117440,RogerPauley,"Covid-19 has had an affect on all of us &amp; for many it has been tragic. This pandemic has changed our schedules, families, normal routines &amp; our lives! Let’s pray for those who have been affected &amp; ask God to help us as we move forward! Join us for a FRESH START  w/ @Scott_Pauley https://t.co/LXykuPOqFe",2020-04-21 04:04:32,United States
1252448135214964736,VirallyAds,"❤#SaveTheWorld from #Coronavirus!  Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Arabic https://t.co/YrxltDqaph #BillionShieldsChallenge , https://t.co/oWOJgAdR2g",2020-04-21 04:04:39,United States
1252448190575542272,NilsComputers,THIS IS FRAUD: CDC's Latest Rules Change Forces States to Include Confirmed AND PRESUMED Coronavirus Fatalities -- States Forced to Pad Their Numbers https://t.co/uN5vQer3Sj via @gatewaypundit,2020-04-21 04:04:52,United States
1252448362286047234,princessstay_,Hi! @NKOTB! My mom is the biggest blockhead EVER! I’m throwing her a surprise quarantine NKOTB birthday party on May 8th! I was wondering if she can get a happy birthday from you guys!? It would make her birthday!!!!! #NKOTB #nkotbestmemory https://t.co/D2s9O3ivyI,2020-04-21 04:05:33,United States
1252448400156569601,VirallyAds,"I challenge you to ?#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #BillionShieldsChallenge , https://t.co/cvNFZv3ou1",2020-04-21 04:05:42,United States
1252448487142240257,EmilyZantowNews,"With 3,000+ #coronavirus cases in Kentucky, Gov. Beshear asked schools to remain closed for rest of academic year. https://t.co/pMB3qbvkU9

Via @bgdailynews",2020-04-21 04:06:03,United States
1252448532033728513,TomLoeffler1,"Deepest condolences to @Iamboxing for the loss of his father Saddam Ali, who lost his fight with the #coronavirus. Tony is a true champion and was an important fixture in the @klitschko and @GGGBoxing training camps. Thoughts and prayers to the entire family for their loss🙏🏻🥊",2020-04-21 04:06:14,United States
1252448543589179394,ayokasystems,"#coronavirus : #immigration to US to be suspended amid #pandemic, says Trump in an effort to protect American #jobs &amp; new infections as #China is experiencing due to travelers re-entering the nation  https://t.co/RbmtL5BHvv",2020-04-21 04:06:16,United States
1252448576870985729,RealParkerJ,"A quarantine mansion of 10 to craft me the perfect dance music daily based on my current mood:

·Alunageorge
·Cashmere Cat
·Elohim
·Griz
·Tove Lo
·Flume
·Kaytranada
·MK
·Duke Dumont",2020-04-21 04:06:24,United States
1252448577084887040,VirallyAds,"#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! https://t.co/b5luv683Ov #BillionShieldsChallenge , https://t.co/yx4wZUp24Z",2020-04-21 04:06:24,United States
1252448605325189120,rEdKiNg,"#QuarantineMeals 
#Veal Osso Bucco with sautéed vegetables and a light reduction, over #organic basmati rice, a nice bottle of white #wine
#HomeCooking #Del.icio.us #Delicious #PinotNoir #Yum #LasVegas #CakeBread… https://t.co/c0KAJHkusA",2020-04-21 04:06:31,United States
1252448637742792704,nikhilautar1,"#Coronavirus is what we deserve for not voting for Shannon Noll to win Australian Idol...
#patientzero #guysebastianateabatandcausedthisall #thisisntfair https://t.co/hzJV0IdPLo",2020-04-21 04:06:39,Australia
1252448753178628096,VirallyAds,"❤❤ I challenge you to #SaveTheWorld from #Covid-19! Recycle empty soda bottles into face shields and become a hero!  https://t.co/b5luv683Ov #BillionShieldsChallenge , https://t.co/UQeNvHelt5",2020-04-21 04:07:06,United States
1252448793255174146,pspoetsLA,"This looks about right. 
#quarantine #hustle #life

Thanks https://t.co/fW8BrdJXpL for the post! @ Los Angeles, California https://t.co/m6dUgMDDk1",2020-04-21 04:07:16,United States
1252448978341421056,SoCalSurfShop,Hey Kid’s! Stuck at home during the #CoronaVirus quarantine🦠? Well have I got some good news for you! Now you can have the “Feeling of the Beach”  in your own backyard (if you don’t already have a beach in your… https://t.co/CAHu1sUGcd,2020-04-21 04:08:00,United States
1252448978995572738,DavidsonCSD83,"Art Teacher, Ms. Mahon, presents an art project for students &amp; families to represent how COVID-19 &amp; the quarantine has affected them. The hand is the student &amp; the picture portrays their feelings during this time.💙 #ClosedNotClosed @CartwrightSD https://t.co/IEBQJGTk1p",2020-04-21 04:08:00,United States
1252448995210821637,soykikeaguilar,"Quarantine mood 😐
.
.
.
.
.
#stayhome #staysafe #quarantinelife #photo #morning #coffee #wakingup #goodmorning #mood #homesweethome #handsome #male #bathrobe #underwear #underwearmen #legs #gayboy #coffeemorning @… https://t.co/7aSFglQJsh",2020-04-21 04:08:04,México
1252449021970522115,oliviamercure,"What the fuck. Quarantine has just peaked. My little house on the prairie Gf just looked at me dead in the eyes and goes “BET”

Like who the fuck are you",2020-04-21 04:08:10,United States
1252449206457053184,DBenavides44,Let’s Goooooo! we workin this off season! #ExtendedOffSeason #DistanceTraining #QuarantineTraining #GainsOnGainsOnGains #HeadHunters #ClassOf2021 #UnderDog #Football #TexasHighSchoolFootball #BlitzAllNight #OTSS https://t.co/WhlVjs5rUc,2020-04-21 04:08:54,United States
1252449243790368768,Ling57895985,"In a second-line city of China, the PPE of normal medical workers is even much better than US anti-Coronavirus front line. Y is that? https://t.co/ZE1E7fNDLT",2020-04-21 04:09:03,People's Republic of China
1252449273544916992,dheeraj_fartode,"#NagpurAlert : Total 7 persons tested positive today morning for #CoronaVirus at #Nagpur;
Total  no - 88 ; Satranjipura connection and all are under quarantine !! 

#Covid19India
#StayHome",2020-04-21 04:09:10,India
1252449511869263873,katelynafshar,Quarantine Day 1373627: my neighbors are throwing their third rave of the day and it sounds like they’re having the absolute TIME of their lives even more on each go-around. This is 2020.,2020-04-21 04:10:07,United States
